"Hotel_Name","Hotel_ReviewCount","Hotel_Rank"
"Commodore Hotel","3",168
"Star Motel","11",169
"Ansonia Abby Hotel","17",170
"Tilden Hotel","5",171
"Adante Hotel","633",172
"Twin Peaks Hotel","44",173
"Carl Hotel","55",174
"Travelodge by Fisherman's Wharf","371",175
"Halcyon Hotel","111",176
"Greenwich Inn","209",177
"Alexis Park San Francisco","121",178
"Mission Inn","151",179
"Inn on Broadway","439",180
"Post Hotel","126",181
"Hotel Metropolis","689",182
"Sheehan Hotel","1",183
"Calista Hotel","67",184
"Union Square Plaza Hotel","494",185
"The Fitzgerald Hotel","355",186
"Biltmore Hotel","7",187
"The Dakota Hotel","174",188
"Travel Inn","310",189
"The Good Hotel","541",190
"Renoir Hotel","424",191
"Howard Johnson San Francisco Marina District","152",192
"Surf Motel","196",193
"Pontiac Hotel","129",194
"Oasis Inn","174",195
"Americas Best Value Inn & Suites-SOMA","149",196
"Vantaggio Suites Jefferson Square","12",197
"Van Ness Inn Hotel","177",198
"Monarch Hotel","371",199
"Civic Center Motor Inn","320",200
"Hotel North Beach","292",201
"Mithila","243",202
"Layne Hotel","244",203
"SF Plaza Hotel","431",204
"The Embassy Hotel","252",205
"Oceanview Motel","109",206
"Rodeway Inn Civic Center","157",207
"Aida Hotel","298",208
"Taylor Hotel","105",209
"Knights Inn San Francisco/On Lombard Street","116",210
